Lead_ID,Industry,Company_Size,Employee_Count,Lead_Source,Budget_Range,Decision_Timeline,Job_Title,Region,Email_Opens,Email_Clicks,Website_Visits,Pricing_Page_Views,Demo_Requested,Response_Time_Hours,Days_in_Pipeline,Deal_Value,Outcome
L0048,Transportation,201-500,226,Event,$50k-$100k,Immediate,VP Operations,Midwest,15,4,7,4,1,4.0,93,91121,Won
L0049,Technology,201-500,413,Content Download,<$10k,3-6 months,Sales Manager,Northeast,4,4,11,4,1,8.0,112,8947,Won
L0050,Healthcare,501-1000,508,Referral,$10k-$50k,1-3 months,VP Operations,Southwest,3,3,11,5,1,24.0,20,40898,Won
L0051,Consulting,201-500,272,Cold Outreach,<$10k,6+ months,COO,International,1,1,15,0,0,4.0,65,8039,Won
L0052,Finance,501-1000,728,Referral,$100k+,6+ months,COO,Northeast,7,5,3,5,0,72.0,14,164046,Won
L0053,Media,1-50,9,Cold Outreach,<$10k,Immediate,Director Marketing,Southeast,6,4,6,1,1,2.0,42,6185,Won
L0054,Finance,1-50,38,Website,$10k-$50k,Immediate,Director Marketing,Southeast,1,0,13,4,0,1.0,72,0,Lost
L0055,Transportation,1-50,30,Content Download,$10k-$50k,Immediate,CTO,Midwest,12,6,3,3,1,1.0,25,18270,Won
L0056,Transportation,1000+,3874,Partner,$100k+,3-6 months,CFO,Southwest,3,1,13,3,0,24.0,60,263852,Won
L0057,Manufacturing,201-500,250,LinkedIn,$100k+,Immediate,Director Sales,Northeast,11,2,17,0,1,1.0,103,414787,Won
L0058,Manufacturing,201-500,485,Referral,$10k-$50k,1-3 months,CFO,Southeast,8,3,13,4,0,8.0,104,32270,Won
L0059,Finance,51-200,186,Trade Show,<$10k,1-3 months,VP Sales,Northeast,14,5,5,2,1,12.0,17,5430,Won
L0060,Transportation,1-50,39,Referral,$50k-$100k,6+ months,VP Operations,West,3,2,13,0,0,48.0,35,53590,Won
L0061,Retail,201-500,455,Cold Outreach,$10k-$50k,3-6 months,COO,Midwest,5,1,12,4,1,4.0,110,0,Lost
L0062,Education,1-50,5,Trade Show,<$10k,6+ months,VP Sales,West,12,6,9,0,0,0.5,86,8769,Won
L0063,Healthcare,51-200,137,Trade Show,$100k+,Immediate,VP Operations,Midwest,5,0,16,5,0,72.0,51,0,Lost
L0064,Education,51-200,90,Cold Outreach,<$10k,1-3 months,COO,Southeast,15,7,18,4,1,12.0,26,8602,Won
L0065,Manufacturing,201-500,230,Website,$50k-$100k,Immediate,COO,West,9,1,20,0,1,48.0,101,0,Lost
L0066,Technology,501-1000,916,Cold Outreach,$50k-$100k,6+ months,CTO,Southeast,10,1,16,5,0,0.5,63,89964,Won
L0067,Education,201-500,372,Event,$100k+,6+ months,Director Marketing,International,3,3,9,2,1,2.0,25,466204,Won
L0068,Real Estate,51-200,185,Referral,$50k-$100k,6+ months,Director Marketing,Southeast,13,8,11,0,0,8.0,105,64846,Won
L0069,Finance,1-50,9,Event,<$10k,Immediate,Director Marketing,Southwest,5,5,14,0,1,12.0,63,7334,Won
L0070,Retail,201-500,396,Content Download,$10k-$50k,3-6 months,Owner,West,13,2,6,4,0,8.0,54,16723,Won
L0071,Healthcare,201-500,247,Referral,$10k-$50k,3-6 months,CFO,Southwest,7,7,11,0,0,0.5,56,34570,Won
L0072,Education,1-50,31,Partner,$10k-$50k,1-3 months,VP Sales,Midwest,0,0,0,2,0,2.0,74,0,Lost
L0073,Real Estate,1-50,16,Event,$10k-$50k,3-6 months,Director Sales,Northeast,15,8,0,5,1,4.0,7,25765,Won
L0074,Finance,1-50,33,Webinar,$50k-$100k,Immediate,CTO,Southwest,15,0,20,3,1,8.0,15,98034,Won
L0075,Healthcare,1000+,2960,Partner,$10k-$50k,Immediate,Director Marketing,Southwest,5,1,2,5,1,0.5,32,30682,Won
L0076,Real Estate,1000+,1509,Content Download,$50k-$100k,Immediate,CEO,Midwest,11,6,12,5,1,24.0,95,84031,Won
L0077,Healthcare,501-1000,668,Referral,$100k+,1-3 months,CTO,Midwest,9,4,14,4,1,2.0,12,435266,Won
L0078,Technology,1-50,39,Trade Show,$50k-$100k,1-3 months,VP Sales,Southeast,7,5,11,3,0,2.0,54,0,Lost
L0079,Media,1-50,18,LinkedIn,$50k-$100k,6+ months,Director Marketing,International,5,3,16,3,1,1.0,64,95480,Won
L0080,Retail,1-50,29,LinkedIn,<$10k,6+ months,Sales Manager,International,2,2,17,2,0,2.0,88,0,Lost
L0081,Finance,201-500,214,Webinar,$10k-$50k,Immediate,CEO,Southeast,11,7,17,1,0,1.0,99,0,Lost
L0082,Media,1000+,3785,Trade Show,$100k+,Immediate,Sales Manager,Midwest,11,2,17,5,0,2.0,14,259448,Won
L0083,Finance,51-200,115,Partner,$10k-$50k,3-6 months,CTO,Midwest,8,2,20,2,1,72.0,82,0,Lost
L0084,Transportation,51-200,198,LinkedIn,$50k-$100k,Immediate,VP Sales,Northeast,13,0,15,5,1,8.0,94,79723,Won
L0085,Technology,51-200,87,Content Download,$100k+,6+ months,CFO,Southeast,10,5,12,1,0,72.0,66,229980,Won
L0086,Finance,1-50,16,Website,$50k-$100k,6+ months,Owner,West,10,3,5,3,1,48.0,9,83124,Won
L0087,Retail,51-200,171,Partner,<$10k,Immediate,COO,West,3,3,4,2,1,24.0,79,9602,Won
L0088,Manufacturing,1-50,40,Trade Show,$100k+,3-6 months,Owner,International,12,5,10,4,0,2.0,71,171846,Won
L0089,Education,501-1000,584,Webinar,$100k+,1-3 months,Owner,Southwest,9,5,16,4,1,8.0,49,261311,Won
L0090,Technology,1000+,3953,Content Download,$50k-$100k,1-3 months,VP Sales,Southwest,12,2,7,0,0,4.0,26,76894,Won
L0091,Transportation,501-1000,693,Website,$10k-$50k,1-3 months,CTO,Midwest,5,3,17,2,1,8.0,38,46574,Won
L0092,Manufacturing,201-500,348,Cold Outreach,$100k+,3-6 months,CFO,Midwest,12,6,11,1,0,0.5,51,351175,Won
L0093,Retail,51-200,112,Webinar,$50k-$100k,3-6 months,Sales Manager,Northeast,7,3,1,0,0,12.0,105,86067,Won
L0094,Real Estate,501-1000,834,Content Download,$10k-$50k,3-6 months,Director Marketing,Midwest,7,0,5,3,0,0.5,70,28970,Won
L0095,Manufacturing,1000+,4844,Referral,$50k-$100k,3-6 months,CFO,International,4,4,14,2,0,1.0,89,50923,Won
L0096,Education,201-500,406,Cold Outreach,$10k-$50k,6+ months,VP Operations,Southwest,5,1,15,2,0,0.5,103,31602,Won
L0097,Transportation,1-50,8,Event,$50k-$100k,1-3 months,VP Sales,International,9,1,20,2,1,4.0,26,74485,Won
L0098,Consulting,501-1000,861,Webinar,$10k-$50k,1-3 months,Owner,Northeast,2,2,3,0,0,72.0,73,17617,Won
L0099,Transportation,501-1000,789,Referral,$100k+,Immediate,CFO,Southeast,14,4,0,3,1,0.5,12,133428,Won
L0100,Consulting,1-50,12,Referral,$100k+,Immediate,COO,West,12,7,12,3,0,72.0,22,0,Lost
L0101,Finance,1000+,3178,Trade Show,$10k-$50k,1-3 months,VP Sales,Northeast,12,3,7,3,1,2.0,99,0,Lost
L0102,Healthcare,1-50,7,Trade Show,<$10k,1-3 months,CEO,Northeast,1,0,1,3,1,4.0,106,0,Lost
L0103,Technology,51-200,133,Webinar,$50k-$100k,1-3 months,Owner,Midwest,4,4,7,3,1,8.0,119,0,Lost
L0104,Finance,501-1000,664,Webinar,$100k+,Immediate,Director Marketing,International,13,6,4,2,1,2.0,115,175681,Won
L0105,Media,1-50,9,Webinar,$100k+,6+ months,CTO,Southwest,10,1,14,2,0,72.0,41,120734,Won
L0106,Healthcare,51-200,54,Webinar,$10k-$50k,6+ months,CEO,Midwest,3,3,7,5,1,4.0,48,34947,Won
L0107,Education,201-500,364,Event,$50k-$100k,6+ months,CFO,Northeast,11,5,13,0,1,4.0,77,97186,Won
L0108,Manufacturing,51-200,178,Cold Outreach,$50k-$100k,1-3 months,VP Operations,Southwest,10,4,15,5,1,48.0,28,82002,Won
L0109,Consulting,1-50,27,Webinar,<$10k,Immediate,VP Sales,Northeast,4,0,6,4,1,12.0,85,0,Lost
L0110,Media,501-1000,647,Website,<$10k,6+ months,VP Sales,Northeast,13,2,3,0,1,2.0,39,0,Lost
L0111,Education,201-500,316,Trade Show,<$10k,3-6 months,VP Operations,West,2,2,20,0,0,24.0,14,0,Lost
L0112,Technology,51-200,186,Referral,$100k+,6+ months,Director Marketing,Southwest,15,4,1,0,1,8.0,11,208610,Won
L0113,Transportation,51-200,196,Trade Show,<$10k,3-6 months,Sales Manager,Southwest,10,6,4,5,1,1.0,13,0,Lost
L0114,Healthcare,501-1000,516,Cold Outreach,<$10k,3-6 months,Owner,Southwest,8,7,15,1,0,72.0,94,9799,Won
L0115,Manufacturing,51-200,90,Referral,<$10k,3-6 months,Sales Manager,West,3,0,0,2,0,12.0,18,6535,Won
L0116,Consulting,1000+,2577,Trade Show,<$10k,Immediate,Director Sales,Midwest,0,0,13,3,0,72.0,80,0,Lost
L0117,Consulting,51-200,177,Trade Show,$10k-$50k,1-3 months,COO,Midwest,13,4,13,2,1,1.0,99,0,Lost
L0118,Media,1000+,3540,Cold Outreach,$100k+,Immediate,Sales Manager,Midwest,12,5,14,2,1,2.0,95,193133,Won
L0119,Real Estate,201-500,387,Event,$100k+,1-3 months,Director Marketing,West,6,4,17,1,0,48.0,109,452834,Won
L0120,Media,51-200,147,Event,$10k-$50k,3-6 months,Sales Manager,International,15,6,17,4,1,24.0,53,48916,Won
L0121,Healthcare,51-200,153,Partner,$10k-$50k,Immediate,Owner,International,13,1,0,0,1,4.0,81,24485,Won
L0122,Real Estate,501-1000,972,Webinar,$10k-$50k,3-6 months,VP Sales,West,2,0,4,2,0,12.0,68,41205,Won
L0123,Media,201-500,285,Referral,$50k-$100k,Immediate,Director Sales,Northeast,7,2,17,1,1,72.0,109,62215,Won
L0124,Real Estate,501-1000,606,Website,$10k-$50k,6+ months,Owner,West,2,2,3,4,0,12.0,40,44584,Won
L0125,Transportation,501-1000,971,Trade Show,<$10k,3-6 months,Director Marketing,West,2,2,4,2,0,4.0,95,6158,Won
L0126,Transportation,51-200,95,Trade Show,$100k+,1-3 months,CFO,International,9,2,5,2,1,0.5,69,394430,Won
L0127,Consulting,501-1000,516,Trade Show,$100k+,6+ months,CFO,West,7,4,1,2,0,72.0,79,0,Lost
L0128,Media,1000+,3944,Webinar,<$10k,Immediate,COO,Southwest,14,8,6,3,0,4.0,64,0,Lost
L0129,Manufacturing,201-500,420,Referral,$100k+,Immediate,CEO,Southeast,4,1,6,0,1,72.0,48,240164,Won
L0130,Consulting,1-50,9,LinkedIn,$100k+,Immediate,COO,International,10,3,12,3,0,8.0,16,493112,Won
L0131,Manufacturing,201-500,435,Content Download,$100k+,3-6 months,Owner,Northeast,11,1,17,3,0,24.0,48,403003,Won
L0132,Finance,1000+,4806,Content Download,$50k-$100k,Immediate,VP Sales,Northeast,5,3,14,0,1,4.0,119,67958,Won
L0133,Education,201-500,320,Referral,$50k-$100k,1-3 months,VP Sales,West,2,2,3,0,0,48.0,73,0,Lost
L0134,Media,1-50,9,Website,$50k-$100k,Immediate,VP Operations,International,2,2,3,0,1,12.0,106,54483,Won
L0135,Transportation,1-50,48,LinkedIn,$100k+,3-6 months,CEO,International,14,3,2,0,0,1.0,61,245210,Won
L0136,Healthcare,51-200,181,Webinar,$50k-$100k,Immediate,COO,Southeast,9,0,7,3,1,1.0,16,73664,Won
L0137,Finance,501-1000,635,Trade Show,$50k-$100k,1-3 months,CFO,Northeast,1,0,12,4,1,72.0,58,85235,Won
L0138,Finance,201-500,368,Referral,$50k-$100k,Immediate,CTO,Southeast,2,1,13,5,0,0.5,21,53606,Won
L0139,Finance,1-50,23,Website,$10k-$50k,Immediate,Sales Manager,West,8,2,11,1,1,1.0,110,27824,Won
L0140,Manufacturing,1000+,2506,Referral,$100k+,6+ months,CTO,Midwest,5,2,3,4,1,1.0,12,347340,Won
L0141,Education,501-1000,665,LinkedIn,$10k-$50k,Immediate,CTO,International,13,5,8,0,1,1.0,29,43801,Won
L0142,Healthcare,501-1000,603,Event,$50k-$100k,3-6 months,Director Sales,Southwest,9,3,14,2,1,48.0,100,59867,Won
L0143,Real Estate,1-50,49,Cold Outreach,$50k-$100k,Immediate,Director Marketing,Northeast,7,6,15,0,0,8.0,115,0,Lost
L0144,Consulting,501-1000,539,Partner,$100k+,Immediate,Owner,Northeast,1,1,4,1,1,8.0,57,242583,Won
L0145,Retail,1-50,11,Cold Outreach,$10k-$50k,Immediate,Sales Manager,Northeast,3,2,6,3,1,48.0,27,49538,Won
L0146,Education,51-200,127,Referral,$10k-$50k,3-6 months,VP Operations,Southwest,0,0,14,4,1,72.0,109,17959,Won
L0147,Retail,51-200,117,Cold Outreach,$100k+,3-6 months,Director Sales,Southwest,6,5,14,1,0,12.0,13,0,Lost
L0148,Finance,1000+,1879,Trade Show,$100k+,6+ months,VP Sales,West,5,2,8,3,0,0.5,89,388719,Won
L0149,Media,1-50,13,Referral,$50k-$100k,6+ months,Sales Manager,West,0,0,11,3,1,48.0,48,0,Lost
L0150,Real Estate,201-500,230,LinkedIn,<$10k,3-6 months,Owner,Southeast,11,3,5,0,0,4.0,101,0,Lost
L0151,Technology,51-200,132,Trade Show,$50k-$100k,1-3 months,Sales Manager,Southeast,0,0,18,4,0,4.0,70,61505,Won
L0152,Technology,1-50,31,Website,$10k-$50k,1-3 months,VP Sales,Southwest,6,6,4,2,0,12.0,97,17269,Won
L0153,Healthcare,201-500,424,Trade Show,<$10k,3-6 months,COO,Midwest,15,5,5,5,1,12.0,29,8099,Won
L0154,Manufacturing,51-200,132,LinkedIn,<$10k,6+ months,Owner,Northeast,3,3,4,2,1,1.0,28,0,Lost
L0155,Healthcare,201-500,380,Content Download,<$10k,3-6 months,CEO,Southeast,3,0,1,3,0,24.0,70,0,Lost
L0156,Real Estate,201-500,284,Webinar,$100k+,Immediate,CFO,Southwest,1,1,0,2,1,1.0,55,148813,Won
L0157,Education,1000+,2356,Content Download,<$10k,6+ months,Sales Manager,Southwest,6,1,13,5,1,72.0,37,5785,Won
L0158,Consulting,501-1000,603,LinkedIn,<$10k,3-6 months,VP Sales,West,0,0,5,5,0,1.0,107,8256,Won
L0159,Manufacturing,1-50,24,Webinar,$100k+,1-3 months,Director Marketing,West,14,7,8,1,1,0.5,19,317048,Won
L0160,Transportation,51-200,172,Webinar,<$10k,6+ months,CTO,West,15,4,2,3,1,0.5,109,0,Lost
L0161,Transportation,1000+,2734,LinkedIn,<$10k,6+ months,Sales Manager,Southeast,2,2,13,1,1,2.0,100,5548,Won
L0162,Real Estate,1000+,2697,Partner,$50k-$100k,6+ months,VP Sales,International,4,1,18,4,1,1.0,19,72535,Won
L0163,Manufacturing,501-1000,520,Content Download,$100k+,Immediate,Sales Manager,Midwest,10,3,1,5,1,8.0,111,357750,Won
L0164,Healthcare,51-200,157,LinkedIn,$50k-$100k,6+ months,Director Marketing,Midwest,6,6,13,5,0,72.0,72,70389,Won
L0165,Consulting,501-1000,734,LinkedIn,<$10k,1-3 months,CEO,Southeast,11,3,8,2,1,72.0,94,0,Lost
L0166,Technology,51-200,192,Partner,$100k+,6+ months,Sales Manager,West,8,1,9,0,0,0.5,34,0,Lost
L0167,Retail,51-200,53,Cold Outreach,$50k-$100k,6+ months,CTO,Northeast,5,4,0,1,0,8.0,42,0,Lost
L0168,Real Estate,501-1000,800,Partner,$100k+,3-6 months,CEO,West,0,0,17,5,1,8.0,15,270465,Won
L0169,Manufacturing,201-500,364,Event,$10k-$50k,1-3 months,CTO,Southeast,0,0,9,2,1,24.0,97,22446,Won
L0170,Retail,1000+,2928,Content Download,$50k-$100k,3-6 months,Sales Manager,International,4,2,17,1,1,12.0,35,71713,Won
L0171,Manufacturing,1000+,3542,Event,$100k+,Immediate,CFO,Northeast,2,1,6,4,0,24.0,118,279657,Won
L0172,Real Estate,1000+,3598,Content Download,$10k-$50k,3-6 months,Sales Manager,Northeast,1,0,14,2,0,2.0,107,18480,Won
L0173,Real Estate,501-1000,987,Trade Show,$100k+,6+ months,VP Sales,Northeast,10,8,6,0,1,0.5,95,153848,Won
L0174,Real Estate,1000+,3146,Event,$10k-$50k,Immediate,VP Sales,Midwest,10,6,4,2,1,12.0,110,11253,Won
L0175,Finance,51-200,60,Website,$10k-$50k,Immediate,Director Marketing,International,8,8,19,0,0,1.0,95,37313,Won
L0176,Healthcare,1000+,3710,Event,$100k+,1-3 months,CEO,International,3,2,19,4,0,24.0,99,155712,Won
L0177,Media,51-200,126,Cold Outreach,$50k-$100k,1-3 months,Director Marketing,International,15,3,15,2,0,0.5,21,59774,Won
L0178,Consulting,1-50,17,Referral,$50k-$100k,1-3 months,CFO,Midwest,5,0,9,2,1,24.0,104,59069,Won
L0179,Finance,201-500,259,Partner,$100k+,3-6 months,Director Sales,Midwest,14,4,12,5,0,24.0,21,154375,Won
L0180,Real Estate,1000+,3803,Content Download,$100k+,1-3 months,Owner,West,4,3,15,0,1,48.0,47,402330,Won
L0181,Transportation,51-200,149,Partner,<$10k,6+ months,CEO,West,1,0,20,1,1,48.0,16,0,Lost
L0182,Media,201-500,394,Cold Outreach,$50k-$100k,3-6 months,VP Sales,Southwest,7,1,14,3,1,48.0,47,98839,Won
L0183,Technology,1-50,1,Trade Show,$100k+,Immediate,CTO,Southwest,6,5,14,2,1,0.5,49,475735,Won
L0184,Education,501-1000,768,Referral,<$10k,1-3 months,VP Sales,Midwest,3,0,5,3,0,24.0,31,0,Lost
L0185,Healthcare,501-1000,975,Cold Outreach,$100k+,1-3 months,Director Marketing,Northeast,3,3,14,5,0,48.0,77,366512,Won
L0186,Finance,1000+,2575,LinkedIn,$10k-$50k,Immediate,VP Operations,International,13,3,8,3,1,8.0,59,43573,Won
L0187,Consulting,201-500,377,Webinar,$10k-$50k,1-3 months,CEO,Southwest,4,1,16,4,1,1.0,81,37359,Won
L0188,Consulting,201-500,229,Trade Show,<$10k,Immediate,VP Sales,West,5,2,8,1,0,8.0,52,0,Lost
L0189,Media,1-50,45,Webinar,$10k-$50k,6+ months,CEO,Southwest,12,6,10,4,0,0.5,118,24781,Won
L0190,Education,1000+,1711,Webinar,$10k-$50k,1-3 months,COO,West,3,3,1,3,1,72.0,115,10369,Won
L0191,Finance,1-50,20,LinkedIn,$50k-$100k,Immediate,Owner,International,2,2,10,4,0,2.0,27,85195,Won
L0192,Healthcare,201-500,472,Cold Outreach,$10k-$50k,3-6 months,Director Marketing,Midwest,0,0,11,3,0,4.0,48,17430,Won
L0193,Consulting,201-500,365,Website,$50k-$100k,6+ months,CFO,Northeast,3,1,17,4,0,1.0,34,0,Lost
L0194,Real Estate,1-50,30,Cold Outreach,$100k+,Immediate,Sales Manager,Northeast,1,0,8,4,0,4.0,64,108855,Won
L0195,Real Estate,1-50,45,Webinar,<$10k,Immediate,Owner,Northeast,3,2,9,4,0,8.0,57,5252,Won
L0196,Retail,51-200,146,Trade Show,$50k-$100k,1-3 months,COO,International,4,0,1,0,1,72.0,33,77043,Won
L0197,Consulting,51-200,80,LinkedIn,$10k-$50k,1-3 months,Owner,Midwest,1,1,20,4,0,8.0,32,41928,Won
L0198,Finance,51-200,166,Referral,$50k-$100k,Immediate,CEO,Midwest,9,2,18,4,1,12.0,47,96674,Won
L0199,Real Estate,201-500,357,Partner,$10k-$50k,3-6 months,CFO,West,3,1,20,4,0,8.0,75,27251,Won
L0200,Healthcare,1-50,3,Website,<$10k,6+ months,Owner,Southeast,15,2,11,3,0,8.0,18,0,Lost
L0201,Real Estate,201-500,272,Webinar,<$10k,1-3 months,Owner,International,5,4,18,5,0,48.0,104,8994,Won
L0202,Education,51-200,62,Website,$10k-$50k,3-6 months,VP Operations,West,3,2,8,4,1,2.0,82,43860,Won
L0203,Retail,1000+,1569,Trade Show,$50k-$100k,3-6 months,CFO,West,14,2,7,0,1,8.0,53,93326,Won
L0204,Real Estate,201-500,411,Referral,$100k+,6+ months,CFO,Southeast,1,0,18,4,0,2.0,80,235402,Won
L0205,Finance,1000+,1898,Trade Show,<$10k,3-6 months,Director Sales,Southeast,13,2,18,1,1,72.0,50,0,Lost
L0206,Media,1000+,4520,Referral,$10k-$50k,6+ months,VP Operations,Southeast,13,2,19,0,0,48.0,119,42986,Won
L0207,Healthcare,501-1000,720,LinkedIn,<$10k,6+ months,CTO,West,15,6,11,4,1,1.0,105,6904,Won
L0208,Consulting,501-1000,504,Event,$10k-$50k,Immediate,VP Sales,Southwest,6,5,10,3,1,1.0,39,45134,Won
L0209,Education,1000+,3290,Event,$100k+,1-3 months,VP Operations,Southwest,15,4,9,4,1,24.0,91,466640,Won
L0210,Finance,1-50,45,Cold Outreach,$100k+,3-6 months,CTO,Southwest,0,0,4,3,1,24.0,54,479843,Won
L0211,Real Estate,501-1000,604,Webinar,$50k-$100k,Immediate,Sales Manager,International,9,3,1,4,0,2.0,90,55691,Won
L0212,Real Estate,201-500,247,Trade Show,$100k+,1-3 months,CTO,Northeast,11,5,8,1,0,48.0,40,155818,Won
L0213,Consulting,1-50,17,Webinar,$50k-$100k,3-6 months,Director Sales,Southwest,14,6,18,3,0,12.0,65,81586,Won
L0214,Manufacturing,1-50,23,Trade Show,$10k-$50k,1-3 months,Director Marketing,West,8,3,9,0,1,12.0,67,0,Lost
L0215,Education,201-500,321,Cold Outreach,$50k-$100k,1-3 months,CEO,West,8,3,7,1,0,12.0,17,85486,Won
L0216,Media,201-500,344,Partner,$100k+,3-6 months,CFO,Southeast,4,0,16,3,0,72.0,117,466081,Won
L0217,Consulting,501-1000,686,Partner,<$10k,Immediate,CEO,West,8,2,17,2,0,8.0,53,6506,Won
